title,price,location,bedrooms,listing_url,scraped_at,log_price,bed_bath_ratio,tier,tier_Premium
1 Bed Apartment with En Suite in Riverside,6000000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-riverside-4027711,2026-07-21T13:48:08.916877,15.60727002719233,1.0,Premium,1
1 Bed Apartment with En Suite in Riverside,7000000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-riverside-4027705,2026-07-21T13:48:08.916885,15.761420707019589,1.0,Premium,1
1 Bed Apartment with Swimming Pool at Chania Avenue,7500000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027698,2026-07-21T13:48:08.916903,15.83041357850654,1.0,Mid,0
2 Bed Apartment with En Suite in Kilimani,6000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027699,2026-07-21T13:48:08.916915,15.60727002719233,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Riverside Drive,8800000.0,Westlands,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-riverside-4027692,2026-07-21T13:48:08.916925,15.990262279448435,1.0,Premium,1
2 Bed Apartment with En Suite at Chania Avenue,10500000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027693,2026-07-21T13:48:08.916934,16.166885815127753,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027690,2026-07-21T13:48:08.916953,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,4000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027691,2026-07-21T13:48:08.916962,15.201804919084164,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Upper Hill,6900000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027687,2026-07-21T13:48:08.916971,15.747031969567487,1.0,Mid,0
1 Bed Apartment with Swimming Pool at Kirichwa Road,5100000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027677,2026-07-21T13:48:08.916985,15.444751097694557,1.0,Mid,0
2 Bed Apartment with En Suite in Kilimani,6000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027681,2026-07-21T13:48:08.916996,15.60727002719233,1.0,Mid,0
2 Bed Apartment with En Suite in Kilimani,7000000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027678,2026-07-21T13:48:08.917006,15.761420707019589,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,3000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027675,2026-07-21T13:48:08.917015,14.914122846632385,1.0,Mid,0
1 Bed Apartment with En Suite in Kilimani,4000000.0,Kilimani,1,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4027674,2026-07-21T13:48:08.917025,15.201804919084164,1.0,Mid,0
2 Bed Apartment with En Suite at Kirichwa Road,7400000.0,Kilimani,2,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4027669,2026-07-21T13:48:08.917035,15.816990558174398,1.0,Mid,0
